Census Tract,Tract Area (km^2),Intersection Density,Bus-Stop Density,Parking-Lot/Space Density,Length of Interstate Highway,Length of State Highway,Length of Collector Roads,Length of Local Roads,Length of Bicycle Lanes,Length of Bike Trails,Length of Pedestrian Crosswalks,Length of Sidewalks
185300,79.21283684008499,5.9586301769860155,0.4797202261132809,5.7624266762166085,45.84807848432693,22.177674711455882,59.14608898992294,330.0099899792169,19.145180444523376,7.858589767910082,11.994943182585102,152.93819909959927
060101,47.33712655653325,2.175881966071395,0.35912614973993895,2.9918341014617575,11.14328973113567,6.835632855078411,31.816035791167042,170.3656613646094,22.751721487402325,3.5391588160730447,3.7781677814575563,49.828793416334356
186800,61.77152758481562,7.462985262377108,0.37233982870861926,12.677960671759017,47.07835477935009,9.942764170924114,39.458019887299095,374.5038317998923,39.55644832676249,6.162770429188492,10.731751183081037,173.92343110720532
185700,7.25652111058836,29.766329720287505,2.6183345587289937,2.57229987540631,0.0,0.0,10.026484353209145,50.08307301503924,0.0,0.0,6.34569819673354,52.64536129886049
017100,7.32785134018259,23.199160587196637,1.5011221556421352,2.9211991624621287,0.0,0.0,8.727341597715972,45.18622559504981,2.7289700407886657,0.0,5.2246017290254425,50.07239488909746
021800,9.468051644620129,10.878690132465211,0.21123670160126623,7.831230834330224,0.0,2.842944382541825,3.6002919289237663,52.228000950103585,0.0,0.0,4.171494738154148,40.961773851051454
035200,41.8964804959461,1.4321012001427087,0.1909468266856945,1.7087707566898418,0.0,0.0,44.27880628492804,147.70705098826494,0.0,0.0,1.6697768924977718,91.65138003670441
020300,15.738070875497113,16.647529552552246,0.635401891318788,0.3408375438705948,0.0,0.0,16.908155748098512,92.5589502149378,0.0,0.0,7.993555326491253,83.34764040831718
020400,5.304956673505533,35.06154931084302,1.8850295328410227,1.8068179584027426,0.0,0.0,8.192380552381636,40.14832567806399,0.0,0.0,5.312958454321414,42.53706652653885
020500,5.180942928630044,32.04049963235053,1.351105406183456,0.9282222098336361,0.0,0.0,4.20677854798267,41.321320794262625,0.0,0.0,5.098420009875377,42.30970878718244
020600,14.386210202604522,23.56423236041876,0.6255990892146573,1.0112302937198137,0.0,5.597094124551341,14.127611069664734,84.26655940762797,0.004361622183695454,0.0,11.508980867287951,96.65186225255488
020700,19.282923997138102,20.380726494505062,0.9853277440091507,0.9705284098651706,0.0,0.0,13.3380820667535,108.94373749555048,0.0,0.0,12.542458930342411,116.1114184838737
020800,12.052799878833214,19.08270296629744,0.7467144638985954,0.352264262075875,0.0,7.585304474371025,7.6744064343071825,61.51946184571618,2.0368789900969233,1.1295819602825743,7.534324311422662,79.32019955528725
020900,10.97375633077359,16.493896396480356,0.18225299885613652,1.1408462953674066,0.0,2.697053392740048,9.19222225777182,43.75225668515106,3.698159685617087,0.0,7.753019068836387,70.97398767991538
021000,13.808957814077742,10.572847130516845,0.36208380583961797,0.49149226638399635,0.0,3.1452154208463394,6.464546504422298,45.92287569984729,0.2739079246713993,0.0,4.009533756078114,59.802268245331824
021100,6.972958962649063,21.511671128925478,0.8604668451570191,1.0849525381976735,10.441471253449915,2.668902734430148,2.637998403077372,39.035588984142315,0.0,0.0,5.13631991291284,42.09673592701561
050101,53.07475778900796,1.5073078678574467,0.28262022522327124,1.683182837446169,0.0,11.930324646981292,29.27077284490387,191.30122256635804,5.854252299310263,4.46993668101807,3.986815906623278,170.20094573002476
070100,17.522707381973287,20.773045629608,0.684825680096967,2.3980088780463675,0.0,1.3919891489427831,18.494854595476003,93.81172110164273,1.2049702039692787,0.0,13.22110307317162,133.57884347251988
070300,13.88594036288206,21.892647674954013,0.9361987492579018,0.6045663699106835,0.0,0.0,13.05494144181998,67.14334804008084,3.04450277843526,0.18451917683852484,11.302283961971014,104.36744583828585
080100,10.801409133872614,18.60868313650626,1.481288209871145,1.2419783599677943,0.0,1.0188201272031046,5.842110900226386,54.32948738110314,14.416057410261894,6.401886435582336,7.485456386226004,67.82028266989758
080200,9.56192717239344,26.040775620933008,1.2549771383582173,2.045599109965532,0.0,0.7080271470634334,3.6324130987737075,54.03623842445379,2.7042307523907434,0.0,9.521317389390177,72.5004593858218
080300,26.433694749501743,10.554710669240022,0.30264403352659563,0.24046911666112517,0.0,8.848861273042145,4.325968349244969,64.18440834195258,3.1168746832035668,0.0,12.295463720609094,104.82763992798378
021400,13.918760971432981,10.345748468239895,0.8621457056866579,5.968144150644212,41.53640443238569,3.272995911567713,16.811362293601846,54.478866816281545,0.0,0.0,4.772327404471384,50.728939152826584
021500,14.004909892170266,17.279654197225153,0.7854388271465979,0.9478503365834321,0.0,6.550954615694845,13.367154803178092,59.10401868098139,0.7933871936048447,0.0,9.889951156745955,87.30570949420583
021600,40.17178558669998,7.268783195354775,0.5227549558303092,7.960388344715177,33.36820547419878,4.378494761655518,37.566954407761486,211.39635258867824,0.0,0.0,8.974144323708167,116.68671981361136
080400,8.107732135314963,25.284505775305355,1.603407683312047,4.036724562123468,0.0,6.966789826947083,5.7684156664421735,43.42222185608023,5.473934840815803,0.4016706532324646,6.265784551468409,43.53514038441912
090200,41.54710978447154,5.2951938448008775,0.45731219568734854,6.735169902645054,17.82535111304346,26.390137264188695,18.7559327933991,189.0423717091913,21.79197286978082,5.553599345699932,7.910218918624277,63.502361641689646
090300,43.53798229653145,6.546008449792244,0.6660850703297371,7.834931392585706,22.746578278258852,18.107311063407817,27.48189168827505,203.63368502532023,8.943976115130782,5.2402105374313965,7.577019031994005,60.90115991250704
090600,33.29397916801667,7.178475086858694,0.7208510547473165,1.1138620545076972,9.860149269374045,23.013407659651246,9.052387316927106,146.17657271994312,10.077134303540207,0.0,6.269822496306821,56.179115262612655
090700,19.564039017919473,11.85849199071327,0.46002770653629066,1.3704635078443486,0.0,0.0,21.825070942502784,63.0643376113999,38.629506356301675,22.734872113745737,10.536067303554216,99.11210941484352
090800,8.534045115172109,16.05334845915413,0.5858886298961361,0.7307661909398255,0.0,0.0,3.122355143752776,37.70868600938894,2.4571547847736603,0.0,6.895542535425715,64.09489215875352
090900,13.32125031612162,16.439898268029857,1.7265646582862406,4.023651844283931,0.0,0.0,14.91372301057997,68.68221814957599,2.1810124374955007,0.0,9.725838757888834,91.1751991253686
091000,11.971021829630502,23.891026519732584,0.7518155198517247,1.1611192871388631,0.0,0.0,9.837992564619434,66.73414680748081,3.039606346641802,0.0,11.409367152761549,100.10247682536018
091100,18.67126963173309,13.657346555941231,0.5355822178800482,0.5335000418854223,0.0,0.0,14.610445856949285,74.89491190363104,2.2673487759891717,0.0,11.299756310243444,133.65247524442904
091300,18.661171263479208,11.842772186143932,0.9109824758572256,1.3072545066661758,0.0,8.393986336714075,14.456743726234436,73.7101783140142,1.860867571798608,0.0038213183361360103,10.966931011685134,118.85968167390892
100700,18.33799055506076,8.125208678269292,0.5998476205433706,0.22489654861112238,24.82934400808608,10.802670943340882,8.790894461882361,77.10947407041168,3.1461397326324425,0.0,4.935816421252966,54.57245792176098
100800,28.5481061338368,5.1141746256489045,0.59548608654816,0.23532385230447075,17.944493328239048,11.795146937210959,9.52825238854634,135.36688892672905,11.789383357974119,2.3505124167822617,6.015114237976941,34.32013555720795
100900,41.28407291220747,7.169835220218169,0.5571155745439793,2.3053199373415794,8.562002720532988,19.64310746415886,19.78486768620042,190.91478164365708,11.808524453709047,0.2890810655584541,5.759931842440331,66.3659737838594
101000,45.1897440369302,5.2002950007407005,0.5532228724192234,2.449543602197809,0.0,9.006845578255742,32.14022006594015,189.2512059515607,0.0,0.0,6.389147036362038,65.16723713960107
101100,14.61750761893596,14.845212033198578,1.2314000764865178,2.5921674723034807,10.112358440664822,7.560038844890227,15.983182185875139,102.04761750250722,1.1834363540480344,0.0,7.2466351540492076,66.38382669011824
101300,14.705635735212642,14.9602508834902,0.8840148249335119,2.3562915689451085,4.949744511517734,0.0,22.686327141689613,65.63573082278909,1.5692648949049022,0.0,8.18054316654461,89.61476797014443
101400,14.598772693771267,15.891746852047739,1.4384770857457003,0.6552526662653585,4.617388489535855,0.0,13.966106887374067,59.247767681913714,3.6815100482018375,0.0,8.644865685532551,93.72213031519449
101500,11.402718747169018,27.712689140776547,0.3507935334275512,0.3717976819856264,0.0,0.0,9.61936157394975,73.99615470442497,0.0,0.0,9.811383975628107,91.33722502075057
101600,15.778947273291703,24.843228968989607,1.2041360979867413,2.268814219422345,0.0,0.0,15.832798907524758,113.25971227812967,5.496173149349122,0.0,12.601903971020812,118.55805779163778
101700,10.115231056624424,27.878750215529614,1.5817730618740207,0.5110096396967981,0.0,0.0,11.599549465374507,63.030044681704354,0.11011027300058118,0.0,9.38251474605429,84.79234842917683
101800,16.63170829525139,10.221439492691056,0.7215133759546628,1.4072773410745705,0.0,0.0,29.239552244171396,62.35575554829035,2.603558416012479,2.5173231260421507,7.036747982714028,80.49105296170158
101200,14.567493954760913,14.964825156406107,0.6864598695599132,2.071565563923343,3.874632621921748,0.0,20.133911808455014,65.32630902606398,0.38069797285230267,0.0,8.692233324605967,87.02375236296471
010800,3.5121285697184064,73.45972531429446,4.555641879956245,9.382278406906732,0.0,0.0,7.461140053072799,33.5757197595411,2.9304306567030203,1.080444606305692,3.6399735119231154,48.088582192664
011300,5.10970428708149,50.88357082763868,3.3270027079609905,15.861372078110003,0.0,0.0,17.99553382337723,32.53475706880984,0.8101725267764477,0.0,6.281470880813272,49.784572636059586
011000,3.024609762399799,73.06727722278235,4.628696294655896,8.86585990735755,0.0,0.0,4.100930697999061,32.404495126850385,0.0,0.0,2.6783487840278393,32.39572395552085
011100,2.6887135793629726,69.17806397365253,1.8596253756358208,6.698801693893204,0.0,0.0,3.6887851214654415,25.933213281836316,3.0432771804973657,0.0,3.350704733630509,30.3860705360888
011200,4.449549676824953,72.81635750411385,2.022676597336496,5.2187104274979275,0.0,0.0,4.053461072068019,35.29990967755747,1.3537453293035338,0.6746194241472582,3.337837443736339,48.855637264395455
010700,6.641985434121178,36.73600347669001,1.8066886955749184,2.665215392466562,0.0,0.0,7.75124021492889,43.85233787620927,6.139697030161617,4.295092299395621,5.020685217185237,54.85059248739616
011400,5.9783333700531704,44.15946446252662,1.338165589773534,17.98171084987148,0.0,0.0,6.108464284822284,55.760094598391504,3.695748835356929,1.83885482412551,5.027339176728327,50.348577665052616
008400,4.951670679820198,24.032292875406053,2.2214724506677865,0.8978758888763528,8.282549293114084,0.0,8.349486797083756,24.55915812357605,0.0,0.0,3.4314174347256827,31.12952826438359
008600,3.2754740606216477,34.19352372424029,0.9158979568992935,0.11886780060892843,0.0,0.0,2.792746917884274,26.73387773181943,0.0,0.0,3.026975949314478,27.938003922163144
008700,3.568586501159212,33.90698248751841,1.1208919830584598,0.18498231887193237,0.0,0.0,4.584971990502135,26.02038094484739,0.0,0.0,3.331645972986515,29.371887244568985
008800,5.317359946238482,40.24553578536362,2.820948770002123,2.4219311007299167,0.0,2.61645794053683,6.248973725251617,43.727985344414336,0.1919326674659488,0.0,6.541432475926312,45.65368620709153
008500,4.325079357179217,28.901203810864644,3.468144457303757,2.925754014960451,0.0,0.0,6.692739406513444,25.024439649834974,0.0,0.0,3.994747548104213,35.82511336894188
009200,4.4232654747421565,28.711819520035288,2.0346958714985637,4.095966956317451,0.0,2.075649280204211,3.68811954255957,28.679145344527438,0.08130736340671113,0.0,5.153692776913365,37.241146943986834
008900,6.472601621739151,21.011643840897715,1.2359790494645715,2.9761437062511797,0.0,1.2113390868343492,5.429084229697988,35.02443660482907,0.0,0.0,4.49046181369473,40.68279806641798
009000,5.455199088895549,35.195782385070025,1.8331136658890637,1.9286694100397943,0.0,0.0,3.8086050047839,45.395902304939895,0.0,0.0,5.948981940559587,47.1094479869585
009100,5.5163916655445995,32.26746953298994,2.537890862145276,1.0529920206433854,1.9023464860528905,0.6229777809707604,11.690674653946221,34.40028564890603,1.4076733401676893,0.0,6.738592865833909,43.63560667242597
009300,6.186765669892566,26.346561143123193,1.616353444363386,1.6538308727186561,0.0,0.48488504792121323,6.1026702186931265,37.457515676707956,0.0,0.0,7.085085224775003,57.53821959455655
014900,3.8675757595629405,35.93982604123774,2.068479196617999,7.60146093971321,1.0092928375654275,1.5931224694630783,7.085249581255578,26.767916433328715,0.0,0.0,4.126314071297873,29.175154193722914
006300,9.410837904422566,18.38306022874963,1.8064278837499639,1.121245437739398,0.0,2.2478060382694345,7.506365638557973,52.17606975280273,0.0,0.0,5.299093089451955,54.104037706406324
006400,5.29691116230977,27.752022923469085,2.2654712590587005,1.3030958522787102,0.0,0.0,6.376065028025238,33.10285299823218,1.3447383148541219,0.0,4.513886505374384,41.666292382308995
007900,6.058651949085634,21.45691831986148,2.640851485521413,0.7926483698334033,0.0,0.0,9.56711511061325,26.99208471828038,7.912973894814404,0.0,3.2842464947044125,33.323414963867
008000,3.535337191580464,35.640164762804986,1.980009153489166,0.4017363478534074,0.0,0.0,1.5904561194763485,27.561843495082208,3.9994346575915047,0.0,3.319287009884083,29.034337325332015
007700,7.5923475915991325,30.6887951570885,1.1854041047802426,4.464928453027116,0.0,0.0,8.917759050640207,48.25131142070818,3.6020828165613343,0.5282475754888059,7.212516247788476,58.71410083772504
008100,3.0241370701154406,34.38997558269738,1.9840370528479259,0.9312585991355417,0.0,0.0,5.1577906548403085,20.818361650344233,1.1306473278092135,0.0,3.3130321749151586,25.71060530095785
010600,3.1532802893156906,62.47462385995251,1.5856503517754443,2.841113635719712,0.0,0.0,2.7576923630295336,28.84890606961363,0.171818536581728,0.0,3.036786924320417,27.983458465599803
012200,5.406380049714693,44.02206241726565,1.4797331904963245,1.3618055642355795,0.0,0.0,6.1871897432714675,49.22491924331483,0.0,0.0,6.559974783023639,44.67128874429059
012300,8.307244702340348,17.575020988471465,2.6482908338792615,5.541180396014146,0.0,3.1955910032021757,12.94138103957025,49.27784314242637,3.1612805465953917,0.0,4.236585940985576,38.299281299636284
012400,14.305680241160951,10.275638594035183,1.398046067215671,2.111278234811887,10.000933877637241,0.0,22.09392662457958,57.6955743103511,1.459858048823597,0.0,5.361675807745554,66.26435303155894
012500,19.74741311665015,8.507443431076538,0.6583140750237798,4.012555960947619,27.618521222460526,7.19968621489232,19.021673394861956,92.93731126702427,7.439510074420575,4.056550370954443,7.621211671740174,72.81854654611088
187400,18.65166935825187,35.11750007032025,1.8228931334212037,18.956001486643075,18.252485229644464,9.188618734891286,30.489574997879462,134.92880269891063,9.498330922300392,4.258491416405487,15.915776182056046,137.6103004660012
009400,6.551545304103297,26.863891163168706,0.7631787262263837,0.8836552438691537,0.0,0.0,14.065609873502616,28.30537277014506,0.0,0.0,7.207056809887258,58.04585494310589
009600,11.245324445342872,18.49657615580322,1.7785169380580017,2.121912101014377,6.73423435911462,0.0,15.849236185250943,45.540981967080285,1.8771057098685424,0.0,6.317710252924563,48.53545620310547
012600,8.54227953358313,27.744350798666545,0.5853238565119524,2.996565475809593,0.36885177683317305,3.3136605456195025,3.215471749837622,55.705620554986425,0.2640577281694974,0.0,7.931739831304173,69.8850881503742
012700,10.987495897112396,9.374292465225789,0.7281003856486049,10.805597346309858,8.369678358672232,0.7887187449229887,14.1069463959159,61.587963246036075,5.353528578357237,0.0,4.374780441555601,48.483454967218236
012800,29.594047145722246,7.197393413316525,0.7096021675100799,7.149558582980048,70.9320377891572,11.989495430312784,15.72899796608363,116.76806654735005,10.00519099022325,0.0545495535280051,7.740353501665423,74.16295209009556
012900,11.467632909220706,21.53888269316646,0.7848175880101139,2.3335445458752804,12.560649115843116,0.0,17.833942995225602,67.49549253499268,4.385980378425788,0.40801205022013537,9.067747042857434,81.04847956383453
013000,6.976563709848783,16.340422698221293,0.57334816484987,1.2286310147660628,9.724824546121612,0.0,5.661549990417574,37.46425589858861,4.136406701030787,0.5141230602558297,4.363249663288653,45.065844534733486
013300,6.4667636792900405,17.473964660543434,0.30927371080607846,2.5272236448661047,9.159851742286326,1.6406520556349955,4.046627668152701,33.73432744595033,0.0,0.0,4.351385443618581,32.861403946825384
009700,4.838910003648974,39.265041064356,2.0665811086503156,0.3796219023909932,0.0,0.0,7.017005914592518,35.456385240607595,0.17097587513255127,0.0,6.420233122726186,42.19772662711233
009800,4.773127288082877,27.864331280681046,1.466543751614792,1.5598459750742968,0.0,0.0,3.0859923532927884,33.249251412477534,0.0,0.0,4.341394670051012,36.308304342895184
009900,5.597894445255157,35.191803262203265,1.786385952396105,4.219595722919088,0.0,0.2913510288858053,6.808556727357833,46.54623859536085,0.0,0.0,5.57912443985603,41.863363919389315
013700,3.4213562649357057,40.91944514367342,2.045972257183671,2.861446727373084,0.0,5.313303150721359,4.3975332036547545,24.964576176990853,0.003954752123858819,0.0,4.41912396665203,28.42392093674455
014100,7.212211968687416,36.88188882341052,2.079805760718638,12.042246530222368,16.111573659709816,7.62473529122639,17.4138989792411,46.519852183460245,0.0017760560270102834,0.0,6.035973155917956,63.991888657808985
014300,2.7241421570209194,55.43029375718458,4.037968419397552,12.761832788795747,0.0,0.0,7.783043765229471,19.261942311287754,1.5775703690206764,0.0,3.691464094449143,34.144660577500495
014400,6.37388189044391,50.36177411465086,2.980914978748805,12.555991359657314,0.0,5.86078679116432,25.52213563861388,29.148825795186454,4.4807394969025,0.0,9.27524848694869,63.07967623969713
013600,4.239001875357274,23.590459013791246,1.8872367211032999,3.476557884928332,0.0,6.3101748583741255,3.3714258339787078,21.68733110329324,0.0,0.0,3.378522738130488,26.160377564740607
014600,4.385738815899443,33.51772783802966,2.964152802002623,9.645264057222743,0.0,3.6829051195954885,10.711254764556532,27.1511048906523,2.4660418627273875,0.0,5.001212271781039,32.13154949637467
014700,2.9162944731741463,40.119405319400116,2.4003063011606907,9.475892034681113,0.0,2.116052729495981,6.979643734888566,18.52590441382666,0.33108265742411397,0.0,3.9139134789723213,25.524036404072056
014800,3.7174978150186244,36.31474898373912,1.6139888437217387,12.734115607724606,0.0,2.6981181307627065,4.516299497221532,29.77129353161955,0.0,0.0,4.608358086036917,30.10579913200155
004000,6.916355603961265,29.78447202483571,0.7229240782727114,1.0324809842886427,0.0,2.0816664658089015,6.105686010078004,49.9731369013804,0.992733229194929,0.0,7.036055970532045,51.94912108616141
004100,15.521458410084835,16.42886855492378,1.0308309681520804,3.0547452766056096,0.0,5.083532625498774,7.505186366112597,77.24488740408182,1.9461490412496953,0.0,9.447040543153545,75.90823279245483
004200,7.478777874178727,32.35822805160863,2.5405220371097683,0.5875223032567243,0.0,2.1909846368295924,8.910561865837552,50.56861686928757,0.6949969348555821,0.0,9.472537297590282,60.95946174655081
004300,21.554207751800668,19.764122388790252,1.3454449513495712,1.7938921827419667,8.862485748704573,13.861892619096846,8.891644175298989,131.973369061193,0.0,0.0,15.689479213410443,129.63602873778922
004700,15.599666470202603,18.077309571884552,1.538494431649749,2.1541429549605677,0.0,6.3870129968002765,11.45477617619498,79.24566814940731,0.9910177586703997,0.0,10.145157785652602,83.62302907023597
